Country,City,Title,Price,Cleanliness,Accuracy,Check-in,Communication,Value,Bathroom,Bedroom and laundry,Entertainment,Heating and cooling,Privacy and safety,Internet and office,Kitchen and dining,Parking and facilities,Services
France,Nice,Charming Renovated 1-Bedroom with Balcony & A/C,843,,,,,,"Hair dryer, Hot water","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens, Iron",TV,"Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Toaster","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide",0
France,Nice,Design apartment with balcony 10 min from the sea,1952,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","Ethernet connection, TV, Sound system, Game console: PS4, Books and reading material","Air conditioning, Heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Electrolux refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Other induction stove, Electrolux single oven, Hot water kettle, Coffee maker: espresso machine, Wine glasses, Toaster, Baking sheet, Blender, Trash compactor, Dining table, Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Paid parking garage off premises","Housekeeping available from 11:00 AM to 3:00 PM, 1 day a week - available at extra cost, Host greets you"
France,Bordeaux,Appartment in the historic Bordeaux,605,,,,,,"Hair dryer, Shampoo, Hot water","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Iron",TV with standard cable,"Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Coffee maker",Free parking on premises,"Smoking allowed, Host greets you"
France,Bordeaux,"Large cozy 2-room apartment close to Bordeaux, Arkéa Arena",,,,,,,"Hair dryer, Cleaning products, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet","Ethernet connection, 32 inch HDTV with Fire TV, Netflix, Books and reading material","Portable fans, Radiant heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Other electric stove, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Baking sheet, Dining table, Coffee",Free street parking,"Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
France,Bordeaux,Wine getaway – near Saint-Emilion,744,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet and wardrobe","55 inch HDTV with Apple TV, Game console: Nintendo Switch, Books and reading material","AC - split type ductless system, Portable fans, Radiant heating",0,"Wifi – 15 Mbps
Verified by speed test. Stream HD videos., Pocket wifi","Kitchen
Space where guests can cook their own meals, Continental Edison refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Whirlpool induction stove, Electrolux stainless steel oven, Hot water kettle, Coffee maker: espresso machine, Wine glasses, Toaster, Baking sheet, Dining table, Coffee",Free parking on premises,"Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Cleaning available during stay, Host greets you"
France,Bordeaux,La Monnoye,1236,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage","TV, Sound system, Exercise equipment, Books and reading material","AC - split type ductless system, Ceiling fan, Heating",0,"Fast wifi – 404 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Shared gym nearby, Paid parking off premises, Paid parking on premises","Pets allowed
Assistance animals are always allowed, Smoking allowed, Host greets you"
France,Bordeaux,Apartment + patio in the historic center of Bourg,591,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Outdoor shower, Hot water","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton Draps en lin et en gaz de coton linens, Extra pillows and blankets, Iron, Drying rack for clothing, Clothing storage: closet and wardrobe","HDTV with premium cable, Books and reading material","Indoor fireplace: pellet stove, Radiant heating",0,"Wifi, Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stainless steel oven, Hot water kettle, Coffee maker: espresso machine, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free parking on premises, Free street parking","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
France,Bordeaux,Private wing within the Loupiac-Gaudiet castle,713,,,,,,"Bathtub, Hair dryer, Cleaning products, Body soap, Bidet, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Iron, Drying rack for clothing, Clothing storage: walk-in closet and wardrobe","TV, Books and reading material","Portable fans, Central heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: drip coffee maker, Wine glasses, Toaster, Baking sheet, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee",Free parking on premises,"Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Host greets you"
France,Bordeaux,Beautiful apartment in the heart of Bordeaux - air conditioning,,,,,,,"Hair dryer, Hot water","Bed linens, Room-darkening shades, Iron, Clothing storage: closet",Movie theater,Air conditioning,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Coffee maker: Nespresso, Wine glasses, Baking sheet, Dining table",Paid parking garage off premises,"Self check-in, Lockbox"
France,Bordeaux,"Chez Marie, Appartement",867,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Hangers, Bed linens, Room-darkening shades, Drying rack for clothing, Mosquito net, Clothing storage: walk-in closet, closet, and dresser","TV, Books and reading material","Air conditioning, Heating",0,"Wifi, Pocket wifi","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Stove, Oven, Hot water kettle, Wine glasses, Toaster, Dining table, Coffee",Free parking on premises,Host greets you
France,Bordeaux,Spacious flat - large sunny Terrace,867,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Iron, Drying rack for clothing, Clothing storage: closet","Ethernet connection, TV with standard cable","Air conditioning, Heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table",Paid parking off premises,"Self check-in, Lockbox"
France,Bordeaux,Bordeaux Savournins,726,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Free dryer – In unit, Hangers, Bed linens
Bonsoirs linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet","TV, Apple Bluetooth sound system, Books and reading material","Air conditioning, Ceiling fan, Central heating","Smoke alarm, Carbon monoxide alarm",Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Toaster, Baking sheet, Blender, Dining table, Coffee",Private living room,"Self check-in, Smart lock, Cleaning available during stay"
France,Bordeaux,Lovely charming apartment with parking,605,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage","TV, Books and reading material","Central air conditioning, Ceiling fan, Central heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker: espresso machine, Wine glasses, Toaster, Baking sheet, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee","Free parking on premises, Single level home
No stairs in home","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Cleaning available during stay"
France,Bordeaux,Anatole - T3 in the Center of Bordeaux,,,,,,,"Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Bed linens, Iron, Clothing storage",TV,Heating,0,Dedicated workspace,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Freezer, Stove, Oven, Coffee maker, Baking sheet, Dining table",Free parking on premises,"Self check-in, Lockbox, Housekeeping available from 10:00 AM to 4:00 PM, every day - available at extra cost"
France,Bordeaux,"La Canopée, cozy getaway near Bordeaux",612,,,,,,"Hair dryer, Shampoo, Body soap, Hot water","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage",0,"Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Hot water kettle, Coffee maker: french press, Wine glasses, Toaster, Baking sheet, Dining table",Free street parking,"Breakfast
Breakfast is provided, Self check-in, Lockbox"
France,Bordeaux,Lovely new apartment - Chartrons,870,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Iron, Drying rack for clothing, Clothing storage: closet",TV,Radiant heating,0,"Wifi, Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Toaster, Baking sheet, Dining table",0,0
France,Bordeaux,"""Calm in the city"" 4*: Accommodation + Parking",571,,,,,,"Hair dryer, Cleaning products, ELSEVE ,Huile extraordinaire de L'ORÉAL (Paris) . shampoo, Le petit Marseillais body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: closet","Ethernet connection, 24 inch HDTV with standard cable, Samsung sound system with aux, Exercise equipment: stationary bike, Books and reading material","Central air conditioning, Portable fans, Radiant heating",0,"Wifi, Dedicated workspace
In a common space, Pocket wifi","Kitchen
Space where guests can cook their own meals, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Samsung stainless steel oven, Hot water kettle, Coffee maker: espresso machine, Nespresso, Wine glasses, Toaster, Baking sheet, Blender, Dining table, Coffee","Free street parking, Paid parking lot on premises","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Building staff
Someone is available 24 hours a day to let guests in"
France,Bordeaux,Charming La Libournaise House + parking,847,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Drying rack for clothing, Clothing storage: walk-in closet","55 inch HDTV with Netflix, premium cable, Apple TV, Chromecast, Amazon Prime Video, Books and reading material",Central air conditioning,0,"Fast wifi – 645 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace
In a common space","Kitchen
Space where guests can cook their own meals, Samsung refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Whirpool stainless steel oven, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free carport on premises, Paid street parking off premises","Self check-in, Lockbox"
France,Bordeaux,1986 Malagar | Pool & view of vineyards and Garonne,,,,,,,"Hair dryer, Shampoo, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Iron, Clothing storage: closet","32 inch HDTV with standard cable, Books and reading material","Central air conditioning, Portable fans, Heating - split type ductless system",Fire extinguisher,"Wifi, Dedicated workspace
In a private space with a desk and office chair","Klarstein refrigerator, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Mini fridge, Hot water kettle, Coffee maker: Nespresso, Wine glasses, Dining table, Coffee","Free driveway parking on premises – 2 spaces, Private outdoor pool - saltwater, EV charger
Guests can charge their electric vehicles on the property, Single level home
No stairs in home","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Breakfast
Breakfast is provided, Long term stays allowed
Allow stay for 28 days or more, Cleaning available during stay, Host greets you"
France,Bordeaux,Le Trésor – Apartment in the Golden Triangle of Bordeaux,,,,,,,"Hair dryer, Shampoo, Hot water","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Iron, Clothing storage","Ethernet connection, TV","Air conditioning, Heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Oven, Coffee maker, Toaster, Dining table",0,"Pets allowed
Assistance animals are always allowed"
Germany,Berlin,Modern designer apartment 73qm public free parking,,,,,,,"Hair dryer, Cleaning products, Hot water","Washer, Dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: wardrobe",TV,Central heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Siemens electric stove, Siemens oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free street parking, EV charger
Guests can charge their electric vehicles on the property, Single level home
No stairs in home","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Germany,Berlin,120 sqm2 penthouse/attic apartment + sauna + fireplace,,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Mehrere body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage: closet and wardrobe","65 inch HDTV with Amazon Prime Video, DVD player, JBL Bluetooth sound system","Central air conditioning, Indoor fireplace: wood-burning, Heating",0,"Wifi, Dedicated workspace
In a room with a door","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Miele stainless steel electric stove, Miele stainless steel oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free parking on premises, Free street parking, Private sauna","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Building staff
Someone is available 24 hours a day to let guests in, Cleaning available during stay"
Germany,Berlin,Berlin Muellerstr. | Suite M,,,,8/23/2025,,,"Hair dryer, Shampoo, Body soap, Hot water, Shower gel","Free washer – In building, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades",TV,Central heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Stove, Hot water kettle, Coffee maker, Toaster, Dining table","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Keypad
Check yourself into the home with a door code"
Germany,Berlin,"Quiet in the countryside, quickly in the center, 3-room apartment",585,,,8/27/2025,,,"Hair dryer, Cleaning products, Nivea shampoo, Nivea body soap, Hot water",0,TV,Central heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Liebherr refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Hot water kettle, Coffee maker: pour-over coffee, Wine glasses, Toaster, Dining table, Coffee",Free street parking,"Self check-in, Lockbox"
Germany,Berlin,Modern & cozy place in central Berlin,,,,,,,"Bathtub, Hair dryer, Shampoo, Body soap, Hot water","Free washer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage","46 inch HDTV with Disney+, Fire TV, Amazon Prime Video, Netflix",Heating,0,"Fast wifi – 201 Mbps
Verified by speed test. Stream 4K videos and join video calls on multiple devices., Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Other electric stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Baking sheet","Free residential garage on premises – 1 space, Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Self check-in, Lockbox"
Germany,Berlin,120 sqm2 apartment + fireplace + water property + garden sauna,,,,9/10/2025,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage","TV, Sound system","Indoor fireplace, Heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free parking on premises, Free street parking, Sauna","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Self check-in, Building staff
Someone is available 24 hours a day to let guests in, Cleaning available during stay"
Germany,Berlin,The Chandelier Loft,1444,,,8/22/2025,,,"Hair dryer, Shampoo, Body soap, Hot water, Shower gel","Washer, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Drying rack for clothing","TV, Game console: Nintendo Switch, Pool table",Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Hot water kettle, Coffee maker: french press, Wine glasses, Toaster, Dining table",0,"Self check-in, Lockbox"
Germany,Berlin,Joie de vivre in the beautiful attic,,,,,,,"Hair dryer, Diverse shampoo, Diverse body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage","77 inch HDTV with standard cable, Amazon Prime Video, Apple TV, Disney+, Netflix, Books and reading material","Portable air conditioning, Central heating","Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit","Wifi, Dedicated workspace
In a room with a door","Kitchen
Space where guests can cook their own meals, Siemens refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Siemens induction stove, Siemens single oven, Hot water kettle, Coffee maker: espresso machine, french press, pour-over coffee, Wine glasses, Toaster, Baking sheet, Blender, Rice maker, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Coffee","Elevator
The home or building has an elevator that’s at least 52 inches deep and a doorway at least 32 inches wide, Private living room","Pets allowed
Assistance animals are always allowed, Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Housekeeping available every day - available at extra cost, Host greets you"
Germany,Berlin,One-Bedroom Apartment in Friedrichshain (LUME Two),,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Free washer – In unit, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Safe, Clothing storage: wardrobe","Ethernet connection, TV, Sound system, Books and reading material",Radiant heating,0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free parking on premises, Free street parking","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure"
Germany,Berlin,NB20 by Rockchair | Cozy Apt. in F'hain Ostkreuz,,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Bidet, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","Ethernet connection, TV",Central heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table","Paid parking off premises, Single level home
No stairs in home","Long term stays allowed
Allow stay for 28 days or more, Self check-in, Smart lock"
Germany,Berlin,Stay comfortably on vacation - in Wildau,771,,,,,,"Bathtub, Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Free washer – In unit, Free dryer – In unit, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage","HDTV with Chromecast, Netflix, Sound system","Air conditioning, Central heating",0,Wifi,"Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Dining table, Coffee","Free parking on premises, Free street parking","Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Cleaning available during stay, Host greets you"
Germany,Berlin,Beautiful place in hip area of Prenzlauer Berg,,,,,,,"Hair dryer, Cleaning products, Shampoo, Body soap, Hot water, Shower gel","Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage: wardrobe and dresser","Ethernet connection, TV","Portable fans, Central heating",0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Dishwasher, Other induction stove, Hot water kettle, Coffee maker: drip coffee maker, french press, Nespresso, Wine glasses, Toaster, Dining table, Coffee","Single level home
No stairs in home","Self check-in, Lockbox"
Germany,Berlin,"Beautiful house in Berlin, close to the city center",,,,,,,"Bathtub, Hair dryer, Cleaning products, Body soap, Hot water","Free washer, Dryer, Hangers, Bed linens, Room-darkening shades, Iron, Clothing storage",Books and reading material,Heating,0,"Wifi, Dedicated workspace","Kitchen
Space where guests can cook their own meals, Refrigerator, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Baking sheet, Blender, Barbecue utensils
Grill, charcoal, bamboo skewers/iron skewers, etc., Dining table, Coffee",Free parking on premises,"Long term stays allowed
Allow stay for 28 days or more, Self check-in, Lockbox"
Germany,Berlin,Caught in a cloud - Room,450,,,,,,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel","Washer, Dryer, Essentials
Towels, bed sheets, soap, and toilet paper, Hangers, Bed linens
Cotton linens, Iron, Drying rack for clothing, Clothing storage: closet and dresser","Ethernet connection, TV with standard cable, Books and reading material","Portable air conditioning, Heating","Smoke alarm, Fire extinguisher, First aid kit","Wifi, Dedicated workspace
In a common space with a laptop stand","Kitchen
Space where guests can cook their own meals, Refrigerator, Microwave, Cooking basics
Pots and pans, oil, salt and pepper, Dishes and silverware
Bowls, chopsticks, plates, cups, etc., Freezer, Dishwasher, Stove, Oven, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Dining table, Coffee",Paid parking on premises,"Luggage dropoff allowed
For guests' convenience when they have early arrival or late departure, Long term stays allowed
Allow stay for 28 days or more, Host greets you"
